Timestamp,Type,SourceAddr,SenderAddr,Value_Seq_or_Tx,RSSI,HopCount,Rx_Count_Measured,PDR_Percent
17:14:40.657,DATA,0x0003,0x0003,19,-65,1,,
17:14:40.668,DATA,0x0005,0x0005,19,-79,1,,
17:14:40.716,DATA,0x0004,0x0004,19,-69,1,,
17:14:41.639,DATA,0x0003,0x0003,20,-65,1,,
17:14:41.676,DATA,0x0004,0x0004,20,-67,1,,
17:14:41.846,DATA,0x0005,0x0005,20,-68,1,,
17:14:42.638,DATA,0x0003,0x0003,21,-59,1,,
17:14:42.688,DATA,0x0005,0x0005,21,-66,1,,
17:14:42.702,DATA,0x0004,0x0004,21,-66,1,,
17:14:43.659,DATA,0x0003,0x0003,22,-59,1,,
17:14:43.671,DATA,0x0005,0x0005,22,-67,1,,
17:14:43.715,DATA,0x0004,0x0004,22,-67,1,,
17:14:44.640,DATA,0x0003,0x0003,23,-58,1,,
17:14:44.688,DATA,0x0005,0x0005,23,-66,1,,
17:14:44.703,DATA,0x0004,0x0004,23,-67,1,,
17:14:45.644,DATA,0x0003,0x0003,24,-63,1,,
17:14:45.680,DATA,0x0005,0x0005,24,-77,1,,
17:14:45.712,DATA,0x0004,0x0004,24,-67,1,,
17:14:46.660,DATA,0x0003,0x0003,25,-63,1,,
17:14:46.696,DATA,0x0005,0x0005,25,-75,1,,
17:14:46.715,DATA,0x0004,0x0004,25,-68,1,,
17:14:47.643,DATA,0x0003,0x0003,26,-62,1,,
17:14:47.689,DATA,0x0005,0x0005,26,-90,1,,
17:14:47.707,DATA,0x0004,0x0004,26,-67,1,,
17:14:48.650,DATA,0x0003,0x0003,27,-64,1,,
17:14:48.690,DATA,0x0005,0x0005,27,-88,1,,
17:14:48.740,DATA,0x0004,0x0004,27,-65,1,,
17:14:49.668,DATA,0x0005,0x0005,28,-75,1,,
17:14:49.679,DATA,0x0003,0x0003,28,-63,1,,
17:14:49.712,DATA,0x0004,0x0004,28,-70,1,,
17:14:50.665,DATA,0x0005,0x0005,29,-71,1,,
17:14:50.676,DATA,0x0003,0x0003,29,-63,1,,
17:14:50.759,DATA,0x0004,0x0004,29,-74,1,,
17:14:51.645,DATA,0x0003,0x0003,30,-79,1,,
17:14:51.692,DATA,0x0005,0x0005,30,-81,1,,
17:14:51.704,DATA,0x0004,0x0004,30,-74,1,,
17:14:52.571,EVENT,TEST_STOP,Finished,,,,,
17:14:52.654,DATA,0x0003,0x0003,31,-73,1,,
17:14:52.697,DATA,0x0005,0x0005,31,-83,1,,
17:14:52.716,DATA,0x0004,0x0004,31,-73,1,,
17:14:53.658,DATA,0x0005,0x0005,32,-82,1,,
17:14:53.706,DATA,0x0003,0x0003,32,-74,1,,
17:14:53.741,DATA,0x0004,0x0004,32,-70,1,,
17:14:54.151,RESULT,0x0005,0x0002,32,-81,,32,100.00
17:14:54.165,RESULT,0x0004,0x0002,32,-77,,32,100.00
