Timestamp,Type,SourceAddr,SenderAddr,Value_Seq_or_Tx,RSSI,Rx_Count_Measured,PDR_Percent
15:34:07.894,DATA,0x00d3,0x00d3,59,-55,,
15:34:07.904,DATA,0x00d4,0x00d4,59,-47,,
15:34:08.850,EVENT,TEST_STOP,Finished,,,,
15:34:08.875,DATA,0x00d4,0x00d4,60,-47,,
15:34:08.907,DATA,0x00d3,0x00d3,60,-57,,
15:34:09.894,DATA,0x00d3,0x00d3,61,-55,,
15:34:09.915,DATA,0x00d4,0x00d4,61,-46,,
15:34:10.419,RESULT,0x00d3,0x00d5,61,-54,61,100.00
15:34:10.752,RESULT,0x00d4,0x00d5,61,-47,59,96.72
15:34:22.738,EVENT,TEST_START,Duration_ms=60000,,,,
15:34:23.797,DATA,0x00d3,0x00d3,1,-62,,
15:34:24.762,DATA,0x00d3,0x00d3,2,-60,,
15:34:25.766,DATA,0x00d3,0x00d3,3,-62,,
15:34:26.753,DATA,0x00d4,0x00d4,4,-46,,
15:34:26.798,DATA,0x00d3,0x00d3,4,-65,,
15:34:27.751,DATA,0x00d4,0x00d4,5,-46,,
15:34:27.797,DATA,0x00d3,0x00d3,5,-60,,
15:34:28.770,DATA,0x00d4,0x00d4,6,-47,,
15:34:28.802,DATA,0x00d3,0x00d3,6,-67,,
15:34:29.752,DATA,0x00d4,0x00d4,7,-49,,
15:34:29.792,DATA,0x00d3,0x00d3,7,-66,,
15:34:30.775,DATA,0x00d4,0x00d4,8,-49,,
15:34:30.785,DATA,0x00d3,0x00d3,8,-66,,
15:34:31.755,DATA,0x00d4,0x00d4,9,-48,,
15:34:31.794,DATA,0x00d3,0x00d3,9,-61,,
15:34:32.774,DATA,0x00d4,0x00d4,10,-48,,
15:34:32.787,DATA,0x00d3,0x00d3,10,-61,,
15:34:33.778,DATA,0x00d3,0x00d3,11,-59,,
15:34:33.794,DATA,0x00d4,0x00d4,11,-47,,
15:34:34.780,DATA,0x00d4,0x00d4,12,-46,,
15:34:34.796,DATA,0x00d3,0x00d3,12,-64,,
15:34:35.773,DATA,0x00d4,0x00d4,13,-47,,
15:34:35.787,DATA,0x00d3,0x00d3,13,-64,,
15:34:36.755,DATA,0x00d3,0x00d3,14,-63,,
15:34:36.793,DATA,0x00d4,0x00d4,14,-49,,
15:34:37.778,DATA,0x00d4,0x00d4,15,-49,,
15:34:37.788,DATA,0x00d3,0x00d3,15,-64,,
15:34:38.811,DATA,0x00d4,0x00d4,16,-49,,
15:34:38.826,DATA,0x00d3,0x00d3,16,-64,,
15:34:39.780,DATA,0x00d4,0x00d4,17,-46,,
15:34:39.793,DATA,0x00d3,0x00d3,17,-62,,
15:34:40.784,DATA,0x00d4,0x00d4,18,-49,,
15:34:40.801,DATA,0x00d3,0x00d3,18,-65,,
15:34:41.783,DATA,0x00d4,0x00d4,19,-49,,
15:34:41.799,DATA,0x00d3,0x00d3,19,-64,,
15:34:42.766,DATA,0x00d4,0x00d4,20,-47,,
15:34:42.818,DATA,0x00d3,0x00d3,20,-60,,
15:34:43.781,DATA,0x00d4,0x00d4,21,-48,,
15:34:43.795,DATA,0x00d3,0x00d3,21,-59,,
15:34:44.783,DATA,0x00d4,0x00d4,22,-47,,
15:34:44.792,DATA,0x00d3,0x00d3,22,-60,,
15:34:45.780,DATA,0x00d3,0x00d3,23,-59,,
15:34:45.791,DATA,0x00d4,0x00d4,23,-46,,
